DISTRICT NAME,SUB-DISTRICT NAME
Ajmer,Sarwar
Ajmer,Kekri
Tonk,Malpura
Tonk,Peeplu
Tonk,Niwai
Tonk,Tonk
Tonk,Todaraisingh
Tonk,Deoli
Tonk,Uniara
Bundi,Hindoli
Bundi,Bundi
Bundi,Nainwa
Bundi,Indragarh
Bundi,Keshoraipatan
Bhilwara,Asind
Bhilwara,Hurda
Bhilwara,Shahpura
Bhilwara,Banera
Bhilwara,Mandal
Bhilwara,Raipur
Bhilwara,Sahara
Bhilwara,Bhilwara
Bhilwara,Kotri
Bhilwara,Jahazpur
Bhilwara,Mandalgarh
Bhilwara,Beejoliya
Rajsamand,Bhim
Rajsamand,Deogarh
Rajsamand,Amet
Rajsamand,Kumbhalgarh
Rajsamand,Rajsamand
Rajsamand,Railmagra
Rajsamand,Nathdwara
Dungarpur,Dungarpur
Dungarpur,Aspur
Dungarpur,Sagwara
Dungarpur,Simalwara
Banswara,Ghatol
Banswara,Garhi
Banswara,Banswara
Banswara,Bagidora
Banswara,Kushalgarh
Chittaurgarh,Rashmi
Chittaurgarh,Gangrar
Chittaurgarh,Begun
Chittaurgarh,Rawatbhata
Chittaurgarh,Chittaurgarh
Chittaurgarh,Kapasan
Chittaurgarh,Dungla
Chittaurgarh,Bhadesar
Chittaurgarh,Nimbahera
Chittaurgarh,Bari Sadri
Kota,Pipalda
Kota,Digod
Kota,Ladpura
Kota,Ramganj Mandi
Kota,Sangod
Baran,Mangrol
Baran,Antah
Baran,Baran
Baran,Atru
Baran,Kishanganj
Baran,Shahbad
Baran,Chhabra
Baran,Chhipabarod
Jhalawar,Khanpur
Jhalawar,Jhalrapatan
Jhalawar,Aklera
Jhalawar,Manohar Thana
Jhalawar,Pachpahar
Jhalawar,Pirawa
Jhalawar,Gangdhar
Udaipur,Mavli
Udaipur,Gogunda
Udaipur,Kotra
Udaipur,Jhadol
Udaipur,Girwa
Udaipur,Vallabhnagar
Udaipur,Lasadiya
Udaipur,Salumbar
Udaipur,Sarada
Udaipur,Rishabhdeo
Udaipur,Kherwara
Pratapgarh,Dhariawad
Pratapgarh,Peepalkhoont
Pratapgarh,Chhoti Sadri
Pratapgarh,Pratapgarh
Pratapgarh,Arnod
Pashchim Champaran,Sidhaw
Pashchim Champaran,Ramnagar
Pashchim Champaran,Gaunaha
Pashchim Champaran,Mainatanr
Pashchim Champaran,Narkatiaganj
